Timestamp,Gender,Level of Study,What is your current CGPA range?,What CGPA are you working towards having?,Do you study regularly or mostly during examinations?,Where do you mostly study?,Is your hostel/study area conducive for studying?,How often do you attend lectures?,How helpful do you find lectures?,How often do your lecturer's focus on your learning than just delivering a lecture?,How often do you submit assignments on time?,On average, how many hours do you spend on social media everyday?,Does financial stress affect your academic performance?,I feel academically stressed most of the time,What are the main challenges that affect your academic performance?  (Select all that apply)
2026-03-07 14:11:08.649000,Male,300 Level,2.40 – 3.49 (Second class lower),3.50 – 4.49 (Second class upper),Mostly during exams or for a test,Hostel room,Neutral,0.9,0.5,0.1,0.75,4–6 hours,Significantly,Strongly Agree,Difficulty understanding course content
2026-03-07 14:20:06,Male,300 Level,3.50 – 4.49 (Second class upper),4.50 – 5.00 (First class),Mostly during exams or for a test,Hostel room,Not conducive,0.5,0.3,0.5,0.75,More than 6 hours,Moderately,Disagree,"Distractions (noise, social activities, roommates, etc.), Lack of motivation"
2026-03-09 05:04:09.085000,Male,300 Level,3.50 – 4.49 (Second class upper),3.50 – 4.49 (Second class upper),Mostly during exams or for a test,Hostel room,Conducive,0.75,0.5,0.25,0.75,More than 6 hours,Slightly,Disagree,Poor time management
2026-03-09 18:05:54.822000,Male,400 Level,3.50 – 4.49 (Second class upper),4.50 – 5.00 (First class),Regularly,Library,Conducive,0.9,0.75,0.75,0.75,More than 6 hours,Not at all,Strongly Disagree,Too many academic workload demands
2026-03-10 10:41:16.889000,Female,400 Level,4.50 – 5.00 (First class),4.50 – 5.00 (First class),Mostly during exams or for a test,Hostel room,Not conducive,0.75,0.75,0.75,0.5,4–6 hours,Slightly,Agree,"Difficulty understanding course content, Too many academic workload demands"
2026-03-10 15:55:44.549000,Male,400 Level,2.40 – 3.49 (Second class lower),3.50 – 4.49 (Second class upper),Mostly during exams or for a test,Other,Neutral,0.9,0.5,0.5,0.5,4–6 hours,Moderately,Agree,Too many academic workload demands
2026-03-11 07:00:06.271000,Female,400 Level,3.50 – 4.49 (Second class upper),3.50 – 4.49 (Second class upper),Mostly during exams or for a test,Hostel room,Conducive,0.9,0.75,0.75,0.75,4–6 hours,Slightly,Strongly Agree,"Distractions (noise, social activities, roommates, etc.), Too many academic workload demands, Poor time management"
2026-03-11 07:02:58.313000,Male,400 Level,2.40 – 3.49 (Second class lower),3.50 – 4.49 (Second class upper),Mostly during exams or for a test,Classroom,Not conducive,0.9,0.75,0.75,0.75,4–6 hours,Significantly,Strongly Agree,"Distractions (noise, social activities, roommates, etc.), Lack of motivation"
2026-03-12 09:44:11.183000,Female,400 Level,2.40 – 3.49 (Second class lower),3.50 – 4.49 (Second class upper),Mostly during exams or for a test,Hostel room,Conducive,0.75,0.75,0.5,0.75,1–3 hours,Significantly,Strongly Agree,"Distractions (noise, social activities, roommates, etc.), Too many academic workload demands, Lack of motivation, Poor time management, Health/personal issues"
2026-03-23 19:44:25.972000,Female,400 Level,2.40 – 3.49 (Second class lower),3.50 – 4.49 (Second class upper),Mostly during exams or for a test,Hostel room,Neutral,0.75,0.5,0.25,0.75,4–6 hours,Moderately,Agree,Poor time management
2026-03-29 23:11:51.384000,Female,200 Level,4.50 – 5.00 (First class),4.50 – 5.00 (First class),Mostly during exams or for a test,Hostel room,Neutral,0.9,0.75,0.25,0.75,4–6 hours,Not at all,Disagree,"Lack of motivation, Poor time management"
